name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories
El Zarape,3.0,12,34.02241,-84.3621,30075,1459806779,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Sweet Potato,3.0,24,34.0496826171875,-84.3386077880859,30076,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Buffet', alias=u'buffets')]"
Tokyo Boat II,3.5,47,34.0196003871134,-84.3205686182484,30076,1459438389,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Restaurant Grill', alias=u'steak'), Category(name=u'Sushi', alias=u'sushi')]"
LongHorn Steakhouse,4.0,43,34.0435943603516,-84.3384475708008,30076,1460530977,"[Category(name=u'Restaurant Grill', alias=u'steak'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
Hooligans,3.0,33,33.9858359098434,-84.2701866477728,30022,,"[Category(name=u'Ailes de poulet', alias=u'chicken_wings'), Category(name=u'Bar des sports', alias=u'sportsbars'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Chaplins,3.0,41,34.01342,-84.36216,30075,1442374397,"[Category(name=u'Bar', alias=u'bars'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Jersey Mike's Subs,4.5,19,34.0331634879112,-84.3415407836437,30076,1442201921,"[Category(name=u'Fast Food', alias=u'hotdogs'), Category(name=u'Deli', alias=u'delis'), Category(name=u'Sandwich', alias=u'sandwiches')]"
Elaina's Cafe,3.5,5,34.0322194,-84.3513598,30075,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
GG's Fine Food,4.5,2,34.0245056,-84.362648,30075,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Asian Star,3.5,23,34.0656967163086,-84.4227905273438,30075,1459205528,"[Category(name=u'Restaurant Chinois', alias=u'chinese')]"
Olive Garden Italian Restaurant,3.5,55,34.0269763789708,-84.3350496298695,30076,1460307985,"[Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Salade', alias=u'salad'), Category(name=u'Bar \xe0 vins', alias=u'wine_bars')]"
American Gra-Frutti,4.5,6,34.041558,-84.333549,30076,,"[Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Sans gluten', alias=u'gluten_free')]"
Scooter's Coffee,4.5,10,34.055349,-84.3783486,30075,,"[Category(name=u'Caf\xe9 et th\xe9', alias=u'coffee'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Bar \xe0 jus de fruits & smoothies', alias=u'juicebars')]"
Mellow Mushroom,3.5,33,34.06212,-84.38884,30075,1460562624,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Bar', alias=u'bars'), Category(name=u'Sandwich', alias=u'sandwiches')]"
Coldbrews Sports Bar & Grill,2.5,74,34.0299377441406,-84.3354187011719,30076,,"[Category(name=u'Viandes et Barbecue', alias=u'bbq'), Category(name=u'Bar des sports', alias=u'sportsbars'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
Sausalito West Coast Grill,5.0,4,34.0422668457031,-84.3299026489258,30076,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican'), Category(name=u'Restaurant Am\xe9rique latine', alias=u'latin'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]"
El Porton Mexican Restaurant,3.0,75,34.053073,-84.333663,30076,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Brick House Pizza & Pasta,2.5,31,34.0385512612141,-84.3456244468689,30076,,"[Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Pizza', alias=u'pizza')]"
Slope's Bbq of Roswell,3.0,34,34.04679,-84.35878,30075,,"[Category(name=u'Viandes et Barbecue', alias=u'bbq')]"
J. Christopher's,3.5,33,34.064908772707,-84.3208327889442,30076,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]"
The Melting Pot,3.5,75,34.0422668457031,-84.3299026489258,30076,1460307984,"[Category(name=u'Fondue et raclette', alias=u'fondue')]"
Chipotle Mexican Grill,3.5,57,34.0449077801706,-84.342212677002,30076,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican'), Category(name=u'Fast Food', alias=u'hotdogs')]"
Urban Cookhouse,4.5,28,33.8798123763281,-84.3806454655396,30342,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Sandwich', alias=u'sandwiches'), Category(name=u'Salade', alias=u'salad')]"
Hooters,3.0,36,34.0306282,-84.3386459,30076,1442005498,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Bar des sports', alias=u'sportsbars'), Category(name=u'Ailes de poulet', alias=u'chicken_wings')]"
Gluten Free Cutie,4.5,36,34.0156882,-84.3630353,30075,,"[Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Sans gluten', alias=u'gluten_free'), Category(name=u'Restaurant V\xe9g\xe9talien', alias=u'vegan')]"
4 Season Wings,3.0,18,34.01695,-84.3098,30076,1442206514,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Salade', alias=u'salad'), Category(name=u'Burger', alias=u'burgers')]"
La Poblanita Taqueria,3.5,3,34.0276074,-84.358432,30075,1456119206,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Taste Of Roswell,4.0,1,34.029549,-84.361847,30075,,"[Category(name=u'Restaurant', alias=u'restaurants')]"
Porch Light Latin Kitchen,5.0,86,33.8852863569565,-84.5158989884861,30080,,"[Category(name=u'Restaurant Am\xe9rique latine', alias=u'latin')]"
New China,3.5,15,34.0053845196962,-84.3896247446537,30075,1442374394,"[Category(name=u'Restaurant Chinois', alias=u'chinese')]"
Tortugas Cuban Grill,4.5,30,33.9544854440618,-84.2435677349567,30092,,"[Category(name=u'Restaurant Cubain', alias=u'cuban')]"
Kitchen of Atlanta,4.5,72,34.0509071350098,-84.1764373779297,30097,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Truck & Tap,5.0,37,34.1003608703613,-84.5200271606445,30188,,"[Category(name=u'Food Truck', alias=u'foodtrucks'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Fresh To Order,4.0,31,33.9822578430176,-84.4274139404297,30068,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Sandwich', alias=u'sandwiches')]"
