name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories,City,State
Herban Fix - Vegan Kitchen,4.5,88,33.7700737,-84.384973,30308,,"[Category(name=u'Restaurant V\xe9g\xe9talien', alias=u'vegan'), Category(name=u'Restaurant V\xe9g\xe9tarien', alias=u'vegetarian'), Category(name=u'Restaurant Asiatique', alias=u'asianfusion')]",Atlanta,GA
Grain,4.0,67,33.7778417067917,-84.3875497998338,30308,,"[Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars'), Category(name=u'Aliments crus & vivants', alias=u'raw_food')]",Atlanta,GA
True Food Kitchen,4.0,339,33.846866607666,-84.36376953125,30326,1460221791,"[Category(name=u'Restaurant V\xe9g\xe9talien', alias=u'vegan'), Category(name=u'Restaurant V\xe9g\xe9tarien', alias=u'vegetarian'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Purnima Bangladeshi Cuisine,4.5,252,33.8771247977383,-84.2935292422771,30341,1459253284,"[Category(name=u'Restaurant Indien', alias=u'indpak'), Category(name=u'Restaurant Bangladais', alias=u'bangladeshi'), Category(name=u'Restaurant Halal', alias=u'halal')]",Atlanta,GA
O-Ku Sushi,4.5,46,33.78451,-84.41113,30318,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Asiatique', alias=u'asianfusion')]",Atlanta,GA
Ziba's Bistro,4.0,121,33.7391154899708,-84.3680047988892,30312,1442070479,"[Category(name=u'Assiettes et planches', alias=u'tapasmallplates'), Category(name=u'Sandwich', alias=u'sandwiches'), Category(name=u'Vins, bi\xe8res et spiritueux', alias=u'beer_and_wine')]",Atlanta,GA
Gato,4.0,194,33.7649749,-84.3332728,30307,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Restaurant Tex-mex', alias=u'tex-mex')]",Atlanta,GA
Barcelona Inman Park,4.0,649,33.7626673545157,-84.3588605289049,30307,1442095320,"[Category(name=u'Restaurant Espagnol', alias=u'spanish'), Category(name=u'Assiettes et planches', alias=u'tapasmallplates'), Category(name=u'Bar \xe0 tapas', alias=u'tapas')]",Atlanta,GA
Ameer's Mediterranean Grill,4.0,278,33.8168513341501,-84.3355731471716,30329,1455368849,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Restaurant Moyen-Orient', alias=u'mideastern')]",Atlanta,GA
Tabla,4.0,185,33.784198,-84.384994,30309,1442201407,"[Category(name=u'Restaurant Indien', alias=u'indpak')]",Atlanta,GA
Goin' Coastal,4.0,305,33.7822666,-84.3536097,30306,1452538289,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Atlanta,GA
Vortex Bar & Grill,4.0,836,33.7662727,-84.3493438,30307,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
Sun in My Belly,4.0,606,33.763973236084,-84.3165054321289,30317,1459528827,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Pijiu Belly,4.0,113,33.7813262939453,-84.4096298217773,30318,1448722006,"[Category(name=u'Burger', alias=u'burgers'), Category(name=u'Pubs', alias=u'pubs'), Category(name=u'Restaurant Asiatique', alias=u'asianfusion')]",Atlanta,GA
Joy Cafe,4.5,380,33.8370529,-84.3773661,30305,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Sandwich', alias=u'sandwiches'), Category(name=u'Caf\xe9', alias=u'cafes')]",Atlanta,GA
Sean's Harvest Market,4.5,41,33.788671,-84.368159,30306,,"[Category(name=u'Bar \xe0 jus de fruits & smoothies', alias=u'juicebars'), Category(name=u'Sandwich', alias=u'sandwiches'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]",Atlanta,GA
Desta Ethiopian Kitchen,4.5,667,33.8378954488708,-84.3103913493464,30329,1455199683,"[Category(name=u'Restaurant \xc9thiopien', alias=u'ethiopian'), Category(name=u'Dessert', alias=u'desserts'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Marlow's Tavern,4.0,295,33.7804314658143,-84.3869733810425,30309,1442006987,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Pub gastronomique', alias=u'gastropubs'), Category(name=u'Burger', alias=u'burgers')]",Atlanta,GA
Carroll Street Café,4.0,291,33.7489815,-84.3678513,30312,1442285602,"[Category(name=u'Bar', alias=u'bars'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Yeah! Burger,4.0,824,33.78551,-84.41226,30318,1460069060,"[Category(name=u'Burger', alias=u'burgers')]",Atlanta,GA
BrickStone Cafe,4.5,26,33.7558029592037,-84.3893632292747,30303,,"[Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Bones,4.5,550,33.8421514,-84.3710145,30305,1442374498,"[Category(name=u'Restaurant Grill', alias=u'steak')]",Atlanta,GA
Victory Sandwich Bar,4.0,88,33.7639617919922,-84.3575592041016,30307,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Porkman's Table,5.0,8,33.795884,-84.400587,30309,,"[Category(name=u'Pub gastronomique', alias=u'gastropubs')]",Atlanta,GA
Flip Burger Boutique,4.0,1342,33.798407,-84.415857,30318,1442026661,"[Category(name=u'Burger', alias=u'burgers')]",Atlanta,GA
White Oak Kitchen & Cocktails,4.0,340,33.7621128925414,-84.3877136707306,30303,1442104019,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Vins, bi\xe8res et spiritueux', alias=u'beer_and_wine')]",Atlanta,GA
